customerid,cuscode,customer,total_sales_value,avg_invoice_value,invoice_count,active_months,first_purchase,last_purchase,unique_products,unique_categories,top_category,relationship_years,recency_days,purchase_frequency,category_concentration,behaviour_cluster,cluster_name,pca_x,pca_y
1026660000573,12857,White Pearl Hibiscus Tea Works CBD,39600.0,19800.0,2,2,2025-07-30,2025-09-22,2,1,GLOBAL,0.15,120,1.0,1.0,1,High Frequency Buyers,-1.0868317210932978,0.28466084824886356
10267000000846,11882,Herbal Lotus Distributors,750040.0,250013.33333333334,3,3,2018-09-29,2020-10-07,2,1,GLOBAL,2.02,1931,1.0,1.0,1,High Frequency Buyers,-1.4226886565415866,0.5920991592633748
10269000002777,12482,Silver Tip Jasmine Trading,185080.0,16825.454545454544,3,3,2023-02-02,2024-03-05,7,2,FOOD SERVICE,1.09,686,1.0,0.5,4,High Value One-Off,0.20295182184896315,-0.6467758003468288
10271000007704,12589,Ceylon Bamboo Imports,371131.74,37113.174,6,4,2024-03-04,2025-09-30,3,2,BULK,1.57,112,1.5,0.5,4,High Value One-Off,0.4812424329802087,-0.7590427354788704
10283000001926,12416,Assam Palm Tea Co. 650,160536.96,283.6342049469965,193,35,2022-07-04,2025-10-09,115,2,FOOD SERVICE,3.27,103,5.514,0.5,4,High Value One-Off,2.3424987823336942,-0.34547084719736254
10299000004845,12570,TeaLeaf Rosewood Imports,871120.8,87112.08,10,4,2024-02-07,2025-10-07,3,1,BULK,1.66,105,2.5,1.0,1,High Frequency Buyers,-0.7401132159579829,0.3531581578855037
10305000000020,11773,Assam Lotus Holdings 87E,160667764.94,26464.79409323011,648,90,2018-05-09,2025-10-09,61,1,RETAIL,7.42,103,7.2,1.0,3,Strategic High-Value,3.4071940380872987,1.7453814837996067
10305000000053,11774,Darjeeling Hibiscus Holdings,1891063.72,3867.2059713701433,33,27,2019-06-03,2025-10-15,62,3,RETAIL,6.37,97,1.222,0.3333,4,High Value One-Off,2.7350427884014925,-1.8721893676585286
10378000012413,12602,Assam Maple Beverages 6FD,10197671.77,36814.69953068592,138,21,2024-02-12,2025-10-09,47,2,FOOD SERVICE,1.66,103,6.571,0.5,4,High Value One-Off,1.536141892866103,-0.02668095114084586
10382000006095,12412,Oolong Clover Distributors 327,16027366.8,1001710.425,16,12,2022-05-31,2025-07-31,2,1,GLOBAL,3.17,173,1.333,1.0,3,Strategic High-Value,-0.5312969380598606,0.2769652968916473
1038770000905,12902,TeaLeaf Orchid Beverages E25,68644.07,68644.07,1,1,2025-09-24,2025-09-24,1,1,RETAIL,0.0,118,1.0,1.0,1,High Frequency Buyers,-1.1381745777060568,0.3068327363454768
10417000006401,12406,Ceylon Clover Tea Co.,1805600.04,34723.07769230769,40,30,2022-05-23,2025-09-30,9,1,GLOBAL,3.36,112,1.333,1.0,3,Strategic High-Value,0.0055335696215805495,-0.03486396012976597
10421000009863,12413,Oolong Clover Exports,377070.0,12163.548387096775,9,8,2022-05-31,2025-09-29,21,1,GLOBAL,3.33,113,1.125,1.0,3,Strategic High-Value,-0.4268711109546055,0.02494321716310297
10474000005455,12651,Black Gold Bamboo Tea Works E78,2039449.22,61801.491515151516,30,10,2024-07-08,2025-07-22,4,1,GLOBAL,1.04,182,3.0,1.0,1,High Frequency Buyers,-0.6634305705064082,0.4738495225620116
10494000009817,12349,Matcha Fern Tea Works,391901.37,7257.432777777778,7,7,2022-02-13,2024-08-21,27,2,RETAIL,2.52,517,1.0,0.5,4,High Value One-Off,0.6383210396917174,-0.8146334938872823
10498000001000,12052,Ceylon Cedar Beverages BBD,19742496.21,29867.619077155825,69,21,2020-02-13,2022-06-16,158,1,GLOBAL,2.34,1314,3.286,1.0,1,High Frequency Buyers,0.2998874793252232,0.783910816253272
1050010000965,12894,Oolong Fern Imports 19B,491520.0,491520.0,1,1,2025-09-15,2025-09-15,1,1,GLOBAL,0.0,127,1.0,1.0,1,High Frequency Buyers,-1.1889959567135935,0.3645364977391247
10502000004555,12442,Assam Hibiscus Tea Works DCD,27000.0,13500.0,2,2,2022-09-09,2022-10-21,1,1,RETAIL,0.11,1187,1.0,1.0,1,High Frequency Buyers,-1.4375034014842651,0.5378200068980024
10506000000393,11939,Assam Lotus Exports C29,1182429024.25,17887.67566146771,5074,72,2019-07-25,2025-10-11,339,1,GLOBAL,6.21,101,70.472,1.0,0,Loyal Medium Buyers,15.074168817944388,21.504209900477612
10506000000418,11940,Golden Bud Willow Beverages 06D,1420816.09,8260.558662790698,23,16,2019-03-27,2025-09-08,34,1,RETAIL,6.45,134,1.438,1.0,3,Strategic High-Value,0.2447634941112001,-0.20011092858106475
10506000000444,11941,Golden Bud Sage Tea Works,9071991.2,23083.947073791347,199,68,2019-04-11,2025-10-09,23,2,RETAIL,6.5,103,2.926,0.5,4,High Value One-Off,2.823223932059264,-1.0563525284252284
10519000004093,12038,Ceylon Sage Holdings 40C,64500.0,64500.0,1,1,2020-01-23,2020-01-23,1,1,GLOBAL,0.0,2189,1.0,1.0,1,High Frequency Buyers,-1.799174229514227,0.7935373020015353
10546000002888,11911,Assam Bamboo Trading 312,837480.0,279160.0,3,1,2019-01-03,2019-01-30,2,1,GLOBAL,0.07,2547,3.0,1.0,1,High Frequency Buyers,-1.7918900722084192,1.1448946339360564
10546000002914,11912,Sencha Magnolia Distributors F69,124500.0,20750.0,6,5,2019-01-02,2022-06-09,1,1,GLOBAL,3.43,1321,1.2,1.0,1,High Frequency Buyers,-0.9669026022073716,0.32073634774790927
10551000004232,12548,TeaLeaf Sage Tea Works,5570000.0,60543.47826086957,90,25,2023-09-12,2025-09-17,2,2,RETAIL,2.02,125,3.6,0.5,4,High Value One-Off,1.1754600340060382,-0.522920924330429
10558000003212,12304,Darjeeling Clover Tea Co. CFA,860875.2,78261.38181818182,7,6,2021-10-08,2024-06-22,6,1,GLOBAL,2.7,577,1.167,1.0,1,High Frequency Buyers,-0.7837036086717041,0.20691791308090754
10580000009258,12176,Ceylon Orchid Exports,2913674.35,4482.575923076924,34,29,2020-12-23,2025-10-20,83,2,RETAIL,4.82,92,1.172,0.5,4,High Value One-Off,1.8669661674655074,-1.1482282204197132
10582000003212,12434,Sencha Rosewood Exports,37500.0,18750.0,2,2,2022-08-23,2022-11-24,2,1,GLOBAL,0.25,1153,1.0,1.0,1,High Frequency Buyers,-1.403510719873446,0.5196869572205443
10636000003707,12549,White Pearl Willow Distributors 562,340319.64,6421.125283018868,16,15,2023-10-13,2025-10-09,11,3,RETAIL,1.99,103,1.067,0.3333,4,High Value One-Off,1.611265751151485,-1.511921407932822
10656000000868,11865,Ceylon Fern Distributors,440400.0,440400.0,1,1,2018-08-27,2018-08-27,1,1,GLOBAL,0.0,2703,1.0,1.0,1,High Frequency Buyers,-2.0059644288412404,0.963878758759629
10675000029058,12652,Sencha Hibiscus Holdings,19895.04,19895.04,1,1,2024-09-30,2024-09-30,1,1,BULK,0.0,477,1.0,1.0,1,High Frequency Buyers,-1.2473105148517036,0.38488757938007684
10677000005988,12387,Sencha Willow Distributors 938,8800.0,8800.0,1,1,2022-03-21,2022-03-21,1,1,GLOBAL,0.0,1401,1.0,1.0,1,High Frequency Buyers,-1.5411746124938719,0.6008209228137887
10677000006201,12389,Golden Bud Palm Tea Works,1005027.41,335009.13666666666,2,2,2022-03-21,2024-09-05,3,1,GLOBAL,2.46,502,1.0,1.0,1,High Frequency Buyers,-0.9335700843160533,0.2383367115759795
10682000003393,12524,Sencha Orchid Imports DA0,287850.0,16932.352941176472,8,6,2023-06-07,2025-07-30,9,1,GLOBAL,2.15,174,1.333,1.0,1,High Frequency Buyers,-0.6946598996803083,0.16578518087230562
1069010000210,12765,Herbal Clover Trading 428,1016000.0,1016000.0,1,1,2025-01-24,2025-01-24,1,1,GLOBAL,0.0,361,1.0,1.0,1,High Frequency Buyers,-1.323201622796617,0.48853224524287886
10711000003893,12020,Matcha Clover Trading C56,344500.0,86125.0,3,3,2020-10-16,2021-01-04,2,1,GLOBAL,0.22,1842,1.0,1.0,1,High Frequency Buyers,-1.6130197866167473,0.6897499139559311
10711000003928,12021,Oolong Ivy Exports 9CB,61120.0,20373.333333333332,1,1,2019-11-27,2019-11-27,3,1,GLOBAL,0.0,2246,1.0,1.0,1,High Frequency Buyers,-1.8016174337022384,0.8017066864775496
10713000002844,12321,Assam Palm Distributors E92,987000.0,493500.0,2,2,2021-12-08,2025-02-13,2,1,GLOBAL,3.18,341,1.0,1.0,1,High Frequency Buyers,-0.8113874674289048,0.16343586388824022
10737000002904,12290,Darjeeling Maple Tea Works,100800.0,50400.0,2,2,2021-09-02,2021-10-06,1,1,GLOBAL,0.09,1567,1.0,1.0,1,High Frequency Buyers,-1.5655655045446224,0.6338694298478621
10737000002967,12291,Assam Fern Exports E79,48600.0,16200.0,1,1,2021-09-03,2021-09-03,3,1,GLOBAL,0.0,1600,1.0,1.0,1,High Frequency Buyers,-1.5948415884433516,0.6491218202881935
10738000001847,11837,Herbal Orchid Beverages BE2,143044.0,3043.4893617021276,6,4,2018-12-18,2021-03-04,14,1,GLOBAL,2.21,1783,1.5,1.0,1,High Frequency Buyers,-1.2049796565086799,0.5670830770931052
10738000001858,11838,White Pearl Fern Holdings AA3,460717.5,30714.5,8,5,2018-10-05,2019-08-15,12,1,GLOBAL,0.86,2350,1.6,1.0,1,High Frequency Buyers,-1.5477941060023224,0.8202735241651321
10738000001881,11839,Golden Bud Jasmine Tea Works,60000.0,60000.0,1,1,2018-08-29,2018-08-29,1,1,GLOBAL,0.0,2701,1.0,1.0,1,High Frequency Buyers,-1.9621948586743871,0.9134052921777752
1074010000609,12828,Herbal Ivy Tea Works A65,617023.71,7617.576666666666,11,4,2025-06-16,2025-09-29,30,2,RETAIL,0.29,113,2.75,0.5,4,High Value One-Off,0.5442413351040288,-0.5006096065007599
1074110000141,12723,Oolong Maple Exports 817,440000.0,220000.0,2,1,2024-11-26,2024-11-27,2,1,GLOBAL,0.0,419,2.0,1.0,1,High Frequency Buyers,-1.1806270451254612,0.5194770324435699
10752000004718,12262,Assam Rosewood Beverages,36550.0,18275.0,2,1,2021-06-09,2021-06-18,2,1,GLOBAL,0.02,1677,2.0,1.0,1,High Frequency Buyers,-1.5575863102051664,0.7861452679004886
10801000003559,12388,Assam Clover Holdings ECC,253630.0,63407.5,2,2,2022-03-22,2023-04-29,2,1,GLOBAL,1.1,997,1.0,1.0,1,High Frequency Buyers,-1.2464838489578003,0.4230262183601985
10819000004127,12535,Sencha Willow Imports 3F9,152360.0,30472.0,4,3,2023-07-26,2023-10-31,3,1,GLOBAL,0.27,812,1.333,1.0,1,High Frequency Buyers,-1.2442094013504261,0.4764927945859303
1083330000215,12744,Silver Tip Clover Imports,240000.0,10434.782608695652,13,8,2024-12-20,2025-09-18,2,2,GLOBAL,0.74,124,1.625,0.5,4,High Value One-Off,0.46137987144259307,-0.6951829966004094
10837000007387,12426,GreenLeaf Bamboo Exports 72E,1062000.0,531000.0,2,2,2022-07-04,2024-06-28,1,1,GLOBAL,1.98,571,1.0,1.0,1,High Frequency Buyers,-1.0519906760380726,0.3169389471774733
10913000004042,12648,Darjeeling Bamboo Holdings,141742.35,1254.3570796460178,5,4,2024-08-09,2025-09-19,57,2,FOOD SERVICE,1.11,123,1.25,0.5,4,High Value One-Off,0.6908456420910686,-0.7487760277925383
10916000001772,12022,Golden Bud Sage Beverages 7A1,265150.0,22095.833333333332,9,9,2019-11-28,2022-06-27,5,1,GLOBAL,2.58,1303,1.0,1.0,1,High Frequency Buyers,-0.9794532559133925,0.3410674366168585
10919000007362,12624,TeaLeaf Rosewood Beverages,130315.0,26063.0,2,2,2024-07-17,2024-11-26,5,2,GLOBAL,0.36,420,1.0,0.5,4,High Value One-Off,0.15874121659691448,-0.6467223067193629
10936000003329,12519,Oolong Cedar Holdings E8A,1864150.0,932075.0,2,2,2023-05-22,2024-08-28,2,1,GLOBAL,1.27,510,1.0,1.0,1,High Frequency Buyers,-1.1646643299215942,0.41372911114380434
1094440000657,12817,Ceylon Willow Beverages C7C,1175287.23,9254.230157480315,6,2,2025-06-19,2025-08-21,89,2,RETAIL,0.17,152,3.0,0.5,4,High Value One-Off,0.802170920109501,-0.43393362255420415
10964000001126,12167,Sencha Orchid Imports 4B4,18500.0,18500.0,1,1,2020-09-29,2020-09-29,1,1,GLOBAL,0.0,1939,1.0,1.0,1,High Frequency Buyers,-1.7141095769877788,0.7286725627732378
1096990001001,12804,Assam Rosewood Tea Works,77415.25,77415.25,1,1,2025-05-02,2025-05-02,1,1,RETAIL,0.0,263,1.0,1.0,1,High Frequency Buyers,-1.1854815258672333,0.34210020170418326
10996000006001,12249,TeaLeaf Willow Holdings 609,218125.0,31160.714285714286,6,4,2021-05-14,2022-08-22,4,1,GLOBAL,1.27,1247,1.5,1.0,1,High Frequency Buyers,-1.21347933521684,0.5173272605787529
1100660000249,12755,Darjeeling Cedar Beverages 322,522480.0,261240.0,2,2,2025-01-31,2025-05-26,1,1,GLOBAL,0.31,239,1.0,1.0,1,High Frequency Buyers,-1.135712239405129,0.33310673670820473
11016000001606,11990,TeaLeaf Orchid Exports 39A,136800.0,22800.0,6,6,2019-08-30,2020-02-28,2,1,GLOBAL,0.5,2153,1.0,1.0,1,High Frequency Buyers,-1.6047871316827125,0.7176040089045191
11016000004813,12530,Oolong Bamboo Holdings,995000.0,995000.0,1,1,2023-08-10,2023-08-10,1,1,GLOBAL,0.0,894,1.0,1.0,1,High Frequency Buyers,-1.4910587575358465,0.6111720609588378
11031000007557,12636,Silver Tip Hibiscus Imports,664237.3,94891.04285714286,7,5,2024-06-25,2025-06-24,1,1,GLOBAL,1.0,210,1.4,1.0,1,High Frequency Buyers,-0.9247160728973743,0.2881848683355492
11036000002133,11942,Golden Bud Rosewood Tea Works,98850.2,890.5423423423423,2,2,2019-04-17,2019-11-20,76,2,RETAIL,0.59,2253,1.0,0.5,1,High Frequency Buyers,-0.01642951098104388,-0.22576580136740618
11039000001888,12207,GreenLeaf Orchid Holdings 440,3394382.66,21899.242967741935,14,3,2021-01-04,2021-03-25,75,1,GLOBAL,0.22,1762,4.667,1.0,1,High Frequency Buyers,-0.9389733435880842,1.1440307264276
11046000000708,11902,TeaLeaf Magnolia Tea Co.,395731.38,4397.015333333334,48,33,2018-12-14,2024-08-12,23,2,FOOD SERVICE,5.66,526,1.455,0.5,4,High Value One-Off,1.6227949980704715,-1.1087127706991118
11055000004922,12681,Sencha Lotus Holdings,28711.86,4785.31,4,4,2024-10-22,2025-09-25,3,2,RETAIL,0.93,117,1.0,0.5,4,High Value One-Off,0.36465642576817986,-0.7758388686683723
11061000001244,11951,Darjeeling Magnolia Beverages,120000.0,120000.0,1,1,2019-06-28,2019-06-28,1,1,GLOBAL,0.0,2398,1.0,1.0,1,High Frequency Buyers,-1.872220773706845,0.8500046282978664
11082000004726,12407,Darjeeling Clover Tea Co.,7100651.36,36982.559166666666,98,36,2022-07-15,2025-10-01,20,3,FOOD SERVICE,3.21,111,2.722,0.3333,4,High Value One-Off,2.435661702929583,-1.3813220099612984
1110220000221,12778,Oolong Palm Beverages,791000.0,19292.682926829268,16,7,2025-02-14,2025-10-07,7,2,FOOD SERVICE,0.64,105,2.286,0.5,4,High Value One-Off,0.5056371955071846,-0.5978647079952704
11112000003524,12632,GreenLeaf Ivy Exports 8A4,2345250.0,390875.0,3,3,2024-05-07,2025-05-16,5,1,GLOBAL,1.02,249,1.0,1.0,1,High Frequency Buyers,-1.01215970636828,0.30277688225773336
11119000003814,12344,White Pearl Fern Imports,7892858.8,43606.9546961326,24,11,2022-02-08,2023-01-25,36,2,RETAIL,0.96,1091,2.182,0.5,4,High Value One-Off,0.48897409583008566,-0.36660981953084726
11155000005789,12483,Herbal Bamboo Distributors,2465613.72,88057.63285714286,19,15,2023-02-20,2025-08-22,3,1,GLOBAL,2.5,151,1.267,1.0,3,Strategic High-Value,-0.4849202813460336,0.10641422933914478
11160000002886,12149,Sencha Palm Trading 85E,512200.0,15521.212121212122,33,23,2020-08-27,2025-09-17,2,1,FOOD SERVICE,5.06,125,1.435,1.0,3,Strategic High-Value,0.04267185903471412,-0.13177875728882257
11171000004745,12543,Oolong Rosewood Tea Co.,991404.0,198280.8,5,2,2023-11-10,2025-09-12,2,1,GLOBAL,1.84,130,2.5,1.0,1,High Frequency Buyers,-0.7872916586550047,0.36484428607203384
11190000000049,11811,Sencha Sage Imports,152000.0,50666.666666666664,3,3,2023-04-22,2025-03-10,2,1,GLOBAL,1.88,316,1.0,1.0,1,High Frequency Buyers,-0.9039627185075988,0.19454153681293784
11194000000510,11888,Sencha Cedar Holdings B3F,579448.85,9990.497413793102,7,4,2018-10-16,2019-01-24,37,2,RETAIL,0.27,2553,1.75,0.5,1,High Frequency Buyers,-0.2679911076053842,-0.048197751325001995
11194000000536,11889,White Pearl Magnolia Trading,1431000.0,24254.237288135595,41,31,2018-10-15,2024-01-08,6,2,FOOD SERVICE,5.23,743,1.323,0.5,4,High Value One-Off,1.352803462652206,-1.0306807291856535
11214000002280,12226,Sencha Bamboo Trading,2944877.23,68485.51697674418,15,12,2021-03-12,2025-08-25,32,1,GLOBAL,4.45,148,1.25,1.0,3,Strategic High-Value,-0.1356739060044733,-0.0319401152692649
11221000007188,12563,White Pearl Lotus Tea Co.,530350.01,25254.762380952383,3,3,2023-10-13,2025-09-17,18,1,GLOBAL,1.93,125,1.0,1.0,1,High Frequency Buyers,-0.7471782830770963,0.1472734541962835
11241000012993,12603,Matcha Cedar Imports B08,279600.0,12709.09090909091,20,16,2024-02-26,2025-09-25,2,1,FOOD SERVICE,1.58,117,1.25,1.0,3,Strategic High-Value,-0.5783678492397288,0.14128460005111018
11245000000069,11778,White Pearl Maple Imports 1F9,156000.0,12000.0,13,13,2018-04-30,2019-11-15,1,1,FOOD SERVICE,1.54,2258,1.0,1.0,1,High Frequency Buyers,-1.3561672865349,0.6262114732333844
11245000000077,11779,Darjeeling Magnolia Trading,1611740.0,11270.90909090909,103,65,2018-04-30,2025-10-03,8,3,FOOD SERVICE,7.43,109,1.585,0.3333,4,High Value One-Off,3.440558336098455,-2.055202294656407
11245000000085,11780,Silver Tip Magnolia Imports,3931978.07,17791.75597285068,119,72,2018-04-30,2025-09-17,10,2,RETAIL,7.38,125,1.653,0.5,4,High Value One-Off,2.787343790732689,-1.435000336197805
11245000000093,11785,Ceylon Sage Holdings,246240.0,10260.0,24,24,2018-04-30,2021-07-26,1,1,RETAIL,3.24,1639,1.0,1.0,1,High Frequency Buyers,-0.6996678351287109,0.2954906767762275
1125330000162,12751,Assam Rosewood Imports,75500.0,8388.888888888889,3,3,2025-04-10,2025-09-04,4,2,FOOD SERVICE,0.4,138,1.0,0.5,4,High Value One-Off,0.27199053709830945,-0.7236184864271246
11268000005598,12421,Matcha Maple Tea Co. FC9,285845.0,12428.04347826087,8,7,2022-06-23,2025-09-30,14,1,GLOBAL,3.27,112,1.143,1.0,3,Strategic High-Value,-0.49215697002170505,0.03465645635215495
11270000007257,12678,Golden Bud Palm Imports 1CE,504237.29000000004,126059.32250000001,4,3,2024-09-30,2025-08-06,1,1,GLOBAL,0.85,167,1.333,1.0,1,High Frequency Buyers,-0.9826035969690229,0.29291369946726087
11287000004415,12505,GreenLeaf Rosewood Holdings,3567742.5,127419.375,26,17,2023-03-31,2025-09-30,4,1,GLOBAL,2.5,112,1.529,1.0,3,Strategic High-Value,-0.4048923235632697,0.13736199128671558
1131220000799,12833,White Pearl Magnolia Exports 308,49500.0,49500.0,1,1,2025-06-19,2025-06-19,1,1,GLOBAL,0.0,215,1.0,1.0,1,High Frequency Buyers,-1.1669854022376476,0.32713771158776267
1131330000374,12795,Matcha Bamboo Exports,1826059.31,913029.655,1,1,2025-03-24,2025-03-24,2,1,RETAIL,0.0,302,1.0,1.0,1,High Frequency Buyers,-1.284385091376168,0.4667717306832563
11325000007425,12607,Oolong Cedar Tea Co. 06E,1770.2199999999998,885.1099999999999,2,1,2024-03-12,2024-03-12,1,1,GLOBAL,0.0,679,2.0,1.0,1,High Frequency Buyers,-1.2448553642078435,0.5503690240296492
11335000000283,11853,TeaLeaf Bamboo Exports FD5,51000.0,51000.0,1,1,2018-07-25,2018-07-25,1,1,GLOBAL,0.0,2736,1.0,1.0,1,High Frequency Buyers,-1.9723532811928968,0.9204567943921751
11373000000148,11841,Black Gold Fern Trading 850,99000.0,99000.0,1,1,2018-07-06,2018-07-06,1,1,GLOBAL,0.0,2755,1.0,1.0,1,High Frequency Buyers,-1.9838641783134974,0.9312364883492128
1139330000247,12752,Ceylon Jasmine Tea Co. C9F,85500.0,9500.0,3,1,2025-01-07,2025-01-08,6,2,FOOD SERVICE,0.0,377,3.0,0.5,4,High Value One-Off,0.240540333724618,-0.3851128979068173
11413000009017,12654,Black Gold Bamboo Distributors FE7,50850.0,50850.0,1,1,2024-07-09,2024-07-09,1,1,GLOBAL,0.0,560,1.0,1.0,1,High Frequency Buyers,-1.277330155785639,0.40848417075293575
11427000003186,12668,Golden Bud Magnolia Distributors 07B,6094067.79,1523516.9475,2,2,2024-09-02,2025-02-27,2,1,RETAIL,0.49,327,1.0,1.0,1,High Frequency Buyers,-1.2638871705406332,0.5316867050355198
11446000007690,12645,Golden Bud Sage Exports 039,240000.0,240000.0,1,1,2024-06-07,2024-06-07,1,1,GLOBAL,0.0,592,1.0,1.0,1,High Frequency Buyers,-1.3089971710496444,0.44087633009750754
1144990000124,12758,Herbal Fern Holdings,75000.0,75000.0,1,1,2025-01-16,2025-01-16,1,1,GLOBAL,0.0,369,1.0,1.0,1,High Frequency Buyers,-1.2190636748664392,0.36672160366073825
1147440000662,12901,Matcha Palm Holdings CF6,31995.0,15997.5,1,1,2025-09-19,2025-09-19,2,1,GLOBAL,0.0,123,1.0,1.0,1,High Frequency Buyers,-1.1284370611447478,0.3013420574532276
1147990000901,12903,Sencha Maple Holdings,132000.0,66000.0,2,1,2025-09-23,2025-09-25,1,1,GLOBAL,0.01,117,2.0,1.0,1,High Frequency Buyers,-1.0712106219709285,0.42631070003681987
11514000002292,12293,Sencha Fern Imports,6577020.45,29361.6984375,94,40,2021-10-07,2025-09-18,45,3,FOOD SERVICE,3.95,124,2.35,0.3333,4,High Value One-Off,2.716331848140341,-1.5102958478123016
11514000006364,12608,Oolong Lotus Distributors F8A,30800.0,15400.0,1,1,2024-03-12,2024-03-12,2,1,GLOBAL,0.0,679,1.0,1.0,1,High Frequency Buyers,-1.3059555516493095,0.4320714148396681
11516000008628,12053,Assam Palm Tea Co. 934,801105.98,7417.647962962963,27,7,2020-02-17,2021-01-13,45,1,GLOBAL,0.91,1833,3.857,1.0,1,High Frequency Buyers,-0.9968658167825124,0.9808598544524094
11516000008638,12054,TeaLeaf Clover Distributors,155542.8,31108.559999999998,2,1,2020-07-10,2020-07-10,5,1,GLOBAL,0.0,2020,2.0,1.0,1,High Frequency Buyers,-1.654936666745094,0.8712139787746296
11516000008649,12055,White Pearl Fern Exports 033,3912259.75,100314.35256410256,10,8,2022-07-19,2025-09-02,17,3,RETAIL,3.12,140,1.25,0.3333,4,High Value One-Off,1.6435495743297204,-1.5018607114270726
11529000004978,12214,Matcha Bamboo Distributors,769216.0,5871.87786259542,22,13,2021-02-10,2022-09-16,14,2,RETAIL,1.6,1222,1.692,0.5,4,High Value One-Off,0.403783400525937,-0.5102557808439137
11548000005265,12445,Darjeeling Magnolia Distributors,440000.0,440000.0,1,1,2022-09-27,2022-09-27,1,1,GLOBAL,0.0,1211,1.0,1.0,1,High Frequency Buyers,-1.529379954411444,0.6127996462041801
