customerid,cuscode,customer,country,risk_band_predicted,prob_high,prob_medium,prob_low,risk_score,risk_bucket,total_outstanding_usd,total_outstanding_lkr,max_overdue_days,avg_overdue_days,invoice_count,receipt_count,debit_note_count,credit_note_count,behaviour_cluster,cluster_name,unique_products,unique_categories,top_category,outstanding_0_30,outstanding_31_60,outstanding_61_90,outstanding_91_plus
12118000005868,12209,Herbal Sage Exports,SRI LANKA,High,0.7938,0.1289,0.0773,79.4,High Risk,180.11418894851317,53690.0,51,44.5,2,0.0,0.0,0.0,4.0,High Value One-Off,8.0,2.0,FOOD SERVICE,0.0,180.11418894851317,0.0,0.0
1212660000541,12791,TeaLeaf Fern Tea Co.,SRI LANKA,Medium,0.1909,0.7735,0.0356,19.1,Low Risk,398.6523304499592,119000.0,25,12.5,2,0.0,0.0,0.0,1.0,High Frequency Buyers,17.0,1.0,GLOBAL,398.6523304499592,0.0,0.0,0.0
12141000008288,12474,Silver Tip Lotus Tea Co.,NORTH CYPRUS,High,0.8546,0.0456,0.0997,85.5,High Risk,91.0599999999904,27611.0,916,522.0,2,0.0,0.0,0.0,1.0,High Frequency Buyers,36.0,1.0,RETAIL,0.0,0.0,0.0,91.0599999999904
12190000002292,12446,Darjeeling Clover Beverages ACC,SRI LANKA,High,0.8783,0.0025,0.1192,87.8,High Risk,231.9518000102113,68600.0,103,103.0,1,1.0,0.0,0.0,3.0,Strategic High-Value,17.0,1.0,GLOBAL,0.0,0.0,0.0,231.9518000102113
12192000000556,11904,Ceylon Rosewood Holdings F7A,SRI LANKA,Medium,0.1019,0.812,0.086,10.2,Low Risk,476.2175169305818,142100.0,30,18.666666666666668,3,1.0,0.0,0.0,3.0,Strategic High-Value,7.0,1.0,GLOBAL,476.2175169305818,0.0,0.0,0.0
1221660000514,12825,Sencha Rosewood Tea Works C6E,SRI LANKA,High,0.9801,0.0,0.0199,98.0,High Risk,1008.854717858645,300000.0,65,65.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,2.0,1.0,GLOBAL,0.0,0.0,1008.854717858645,0.0
12254000001902,12435,Matcha Rosewood Trading,KUWAIT,Low,0.2679,0.2053,0.5269,26.8,Low Risk,48336.869999999995,14424531.2,0,0.0,2,0.0,0.0,0.0,4.0,High Value One-Off,44.0,2.0,FOOD SERVICE,48336.869999999995,0.0,0.0,0.0
12301000000759,12006,White Pearl Maple Imports 0BC,SRI LANKA,High,0.8828,0.0759,0.0413,88.3,High Risk,4705.913527558898,1401049.0,114,62.4,5,1.0,0.0,0.0,3.0,Strategic High-Value,7.0,1.0,GLOBAL,0.0,1983.8196961773788,2309.767483706537,412.3263476749818
12301000000784,12007,GreenLeaf Palm Trading,SRI LANKA,High,0.8857,0.0672,0.0471,88.6,High Risk,9689.329602873388,2842307.0,230,172.55555555555554,18,0.0,0.0,0.0,3.0,Strategic High-Value,5.0,1.0,GLOBAL,0.0,0.0,0.0,9689.329602873388
1234770000547,12864,GreenLeaf Clover Distributors,SRI LANKA,Medium,0.2984,0.4637,0.2378,29.8,Low Risk,3249.25513087266,968837.6,38,11.0,6,0.0,0.0,0.0,1.0,High Frequency Buyers,18.0,1.0,RETAIL,2657.651946546035,591.6031843266254,0.0,0.0
12450000008544,12580,Silver Tip Bamboo Tea Works 040,SRI LANKA,Medium,0.2293,0.7693,0.0014,22.9,Low Risk,379.3066433331125,113326.4,129,44.666666666666664,3,0.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,378.4230651986178,0.0,0.0,0.8835781344947009
12470000005321,12203,Assam Fern Trading,SRI LANKA,High,0.8785,0.0071,0.1143,87.8,High Risk,19.85860672015252,5900.0,66,66.0,1,0.0,0.0,0.0,4.0,High Value One-Off,3.0,2.0,FOOD SERVICE,0.0,0.0,19.85860672015252,0.0
1247440001042,12877,Assam Palm Holdings,SRI LANKA,High,0.6391,0.2809,0.08,63.9,Medium Risk,687.2451326282534,205000.0,4,4.0,2,0.0,0.0,0.0,1.0,High Frequency Buyers,2.0,1.0,GLOBAL,687.2451326282534,0.0,0.0,0.0
1258220000230,12725,Silver Tip Cedar Exports CF2,SRI LANKA,Medium,0.1393,0.7835,0.0772,13.9,Low Risk,316.96588445130493,94400.0,32,16.0,2,0.0,0.0,0.0,4.0,High Value One-Off,6.0,2.0,FOOD SERVICE,207.7251630114415,109.2407214398634,0.0,0.0
12634000002450,12218,Black Gold Ivy Tea Co. C1A,SRI LANKA,High,0.7068,0.2586,0.0346,70.7,High Risk,517.5456527194046,152904.0,452,188.0,8,0.0,0.0,0.0,4.0,High Value One-Off,3.0,2.0,RETAIL,138.0366325318633,98.56722573752592,0.0,280.94179445001544
1263990000633,12832,White Pearl Sage Tea Co. B7F,SRI LANKA,Medium,0.1722,0.7869,0.0409,17.2,Low Risk,930.6355633650769,277000.0,86,55.666666666666664,3,0.0,0.0,0.0,1.0,High Frequency Buyers,1.0,1.0,GLOBAL,553.1386933254933,0.0,377.4968700395836,0.0
12641000000163,11952,Golden Bud Magnolia Tea Co.,UNITED STATES,High,0.7229,0.0168,0.2602,72.3,High Risk,6577.31,1923574.4,247,247.0,1,2.0,0.0,0.0,4.0,High Value One-Off,60.0,2.0,RETAIL,0.0,0.0,0.0,6577.31
1266990000654,12838,Ceylon Magnolia Imports E1E,GERMANY,Low,0.3445,0.0073,0.6482,34.4,Medium Risk,102081.5807975798,30450159.7,0,0.0,1,0.0,0.0,0.0,1.0,High Frequency Buyers,16.0,1.0,RETAIL,102081.5807975798,0.0,0.0,0.0
12674000006383,12665,Silver Tip Ivy Imports,SRI LANKA,Medium,0.3949,0.4982,0.1069,39.5,Medium Risk,206.016446926893,61124.0,239,98.33333333333333,3,0.0,0.0,0.0,4.0,High Value One-Off,7.0,3.0,FOOD SERVICE,19.74698423387391,154.6128346123105,0.0,31.65662808070858
12674000006410,12667,Ceylon Palm Tea Co.,GHANA,High,0.8741,0.0,0.1259,87.4,High Risk,39.91999999999825,11705.9,245,245.0,1,0.0,0.0,0.0,4.0,High Value One-Off,29.0,2.0,RETAIL,0.0,0.0,0.0,39.91999999999825
12675000006409,12625,Black Gold Clover Tea Co. 236,SRI LANKA,Low,0.1286,0.157,0.7144,12.9,Low Risk,3916.637102465749,1169427.2,0,0.0,3,0.0,0.0,0.0,1.0,High Frequency Buyers,4.0,1.0,GLOBAL,3916.637102465749,0.0,0.0,0.0
1268660000381,12776,Darjeeling Lotus Imports ACF,SRI LANKA,High,0.9625,0.0375,0.0,96.2,High Risk,6766.248357361774,1996986.6,224,112.55555555555556,9,0.0,0.0,0.0,0.0,No Sales History,0.0,0.0,Unknown,672.2096949050656,696.4337985516743,1382.8649658848806,4014.7398980201533
